source concept,target concept,source concept keywords,target concept keywords,source context words,target context words,context,polarity,score
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",names;florida,voter;suing;holder;ineligible,gee what a coincidence that this coincides with holder suing florida over purging ineligible names from voter databases,POSITIVE,-9.999820289
nuclear,governance.plusnames,"chemical,energy,acid,reaction,carbon,process,electron,temperature,material,chemistry","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",particle,tax;obamacare,light is both a particle and a wave obamacare is both a tax and,NEUTRAL,-9.999608047
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pushes,congress;voted;decision;republican;regulation;lahood,the states have a similar construct the barriers put in place to decision making have been put in place by people like ray lahood a relic of congress and republican no less who voted to expand government and regulation and who still pushes an expansion of regulation,NEGATIVE,-9.999327152
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",hot,issue;vawa,another hot vawa issue is visas,NEUTRAL,-9.998908513
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",type,moderate;candidate;senator;beason;immigration;conservative;republican;seats;illegal;legislature;incumbents;bachus;senate;establishment;beason,the only viable candidate against bachus appears to be state senator scott beason beason has amassed one of the most conservative records in the alabama legislature and is the sponsor of alabama s hb anti illegal immigration law his entire career has been marked by challenging the republican establishment he beat moderate incumbents for his house and senate seats he is not the type of guy to fall in line with leadership,NEUTRAL,-9.998890922
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",gulf,obama,up next demands for obama to apologize to bp for the gulf spill,NEUTRAL,-9.998246127
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",races;pick,endorsements;candidates,green party candidates pick up key endorsements in state and local races across the us,POSITIVE,-9.998115243
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",security,deficit;tax;greens;obama;vote;undermine;compromise;democrats,obama s compromise tax package will blow up the deficit undermine social security say greens urging house democrats to vote nay,NEUTRAL,-9.99794629
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",turning;punches;pulled;rolled,mccain;voters;mitt;nomination;bill;obama;romney;mccain;hillary,if he wants to get dirty this year i can assure you that mitt romney is no john mccain no one wants to admit that obama had a cake walk to the nomination last time hillary and bill were to worried about the black voters turning against them and pulled their punches and mccain just rolled over,POSITIVE,-9.997924717
theater,governance.plusnames,"theatre,stage,musical,miss,actress,theater,actor,starring,mother,directed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",director;dear,romney,dear ms romney communications director gail gitcho,POSITIVE,-9.99694411
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",elena,confirmation;hearings,during her court confirmation hearings elena kagan,NEUTRAL,-9.996737884
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",foot,campaign;presidential,campaign a foot view on the presidential race,NEUTRAL,-9.996235056
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",doublemint;gum,menendez,missouri needs to learn to distinguish between famous and infamous just because the menendez were infamous didn t mean doublemint gum should use them in an ad campaign,POSITIVE,-9.994934887
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",taco;chilli;chilli,fair;illegal;citizenship;checks;fair;hud;legal;illegal,illegal chilli shitters should earn their right to legal citizenship by by working in that service marines and army grunts no free foodstamps or hud checks for those chilli shitter bitches until they ve after they ve sucked off a at least a few hundred marines fair is fair nothing in the world is free this ain t a goddamned taco commune,POSITIVE,-9.994752795
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",evidence,carville;romney,best evidence this is a winning line for romney james carville s reaction,NEUTRAL,-9.994575419
electricity,governance.plusnames,"signal,frequency,systems,voltage,camera,digital,electric,electrical,wave,sound","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",signal;calibrated,republicans;reauthorizing;votes;democratic;bloc;lobbyists;authority;issue;aides,the finely calibrated deal under discussion as described by lobbyists and aides working on the issue would grab enough democratic votes to overcome a bloc of to republicans who strongly oppose reauthorizing the bank s lending authority such a result would signal at least an appearance of centrism,POSITIVE,-9.993469726
