1,"After committing the crime, his face reeked of guilt",Goodness/Badness is Smell,"In the above sentence, the quality of the man's face is being described in terms of: ",Smell,Cleanliness,Being Asleep/Awake,Hunger
2,"After he was convicted of the crime, the man hit rock bottom.",Happiness is Vertical Elevation,"In the above sentence, the man's mood is being described in terms of: ",Vertical Elevation,Brightness,An Object in Motion,Cleanliness
3,"After he was convicted of the crime, the man was in a dark place.",Happiness is Brightness,"In the above sentence, the man's mood is being described in terms of: ",Brightness,Vertical Elevation,Arriving at a Destination,a Physical Force
4,"After many years, the volcano suddenly came alive.",Activity is Being Alive/Dead,"In the above sentence, the activity of the volcano is being described in terms of: ",Being Alive/Dead,Being Asleep/Awake,Hunger,Seeing something
5,"After overcoming many obstacles, the woman stated, ""I finally passed that period of my Being Alive/Dead.""",Time Periods is A Region in Space,"In the above sentence, the period of the woman's Being Alive/Dead is being described in terms of: ",A Region in Space,An Object in Motion,Centrality in Space,Acquiring a Desired Object
6,"After overcoming many obstacles, the woman stated, ""That period of my Being Alive/Dead finally passed.""",Time Periods is An Object in Motion,"In the above sentence, the period the woman's Being Alive/Dead is being described in terms of: ",An Object in Motion,A Region in Space,Smell,Being Alive/Dead
7,"After the torrential rainstorm, the company was happy to learn that their phones were up and running.",Activity is Being Asleep/Awake,"In the above sentence, the activity of the phones is being described in terms of: ",Being Asleep/Awake,Being Alive/Dead,Brightness,Centrality in Space
8,"After the torrential rainstorm, the company was happy to learn that their phones weren't dead.",Activity is Being Alive/Dead,"In the above sentence, the activity of the phones is being described in terms of: ",Being Alive/Dead,Being Asleep/Awake,Vertical Positioning,An Object in Motion
9,All of the school children are very excited because Halloween is fast approaching.,Time Periods is An Object in Motion,"In the above sentence, Halloween is being described in terms of: ",An Object in Motion,A Region in Space,Vertical Positioning,Vertical Elevation
10,All of the school children are very excited because we are approaching Halloween fast.,Time Periods is A Region in Space,"In the above sentence, Halloween is being described in terms of: ",A Region in Space,An Object in Motion,Brightness,a Physical Force
