0,CRITICAL SENTENCE,CRITICAL SENTENCE,CRITICAL SENTENCE (SPANISH UNICODE),UNDERLYING METAPHOR,QUESTION FRAME,QUESTION FRAME(SPANISH),QUESTION FRAME (SPANISH UNICODE),CORRECT ANSWER,CORRECT ANSWER(SPANISH),CORRECT ANSWER (SPANISH UNICODE),RELATED ANSWER,RELATED ANSWER(SPANISH),RELATED ANSWER (SPANISH UNICODE),UNRELATED ANSWER 1,UNRELATED ANSWER 1(SPANISH),UNRELATED ANSWER 1 (SPANISH UNICODE),UNRELATED ANSWER 2,UNRELATED ANSWER 2(SPANISH),UNRELATED ANSWER 2(SPANISH UNICODE),SET
99,This question is designed to check that you are paying attention.,Esta pregunta está diseñada para comprobar que están prestando atención.,Esta pregunta está diseñada para comprobar que están prestando atención.,trick question,"Please select ""Brightness"" as your answer:",Por favor seleccione 'Brillo' como su respuesta:,Por favor seleccione 'Brillo' como su respuesta:,Brightness,Brillo,Brillo,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Wakefulness,Vigilia,Vigilia,1
99,This question is designed to check that you are paying attention.,Esta pregunta está diseñada para comprobar que están prestando atención.,Esta pregunta está diseñada para comprobar que están prestando atención.,trick question,"Please select ""Vertical Elevation"" as your answer:",Por favor seleccione 'Elevación Vertical' como su respuesta:,Por favor seleccione 'Elevaci&#243;n Vertical' como su respuesta:,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Brightness ,Brillo,Brillo,Wakefulness,Vigilia,Vigilia,Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,2
1,"After committing the crime, his face reeked of guilt","Después de cometer el crimen, su cara hedía a culpa.","Despu&#233;s de cometer el crimen, su cara hed&#237;a a culpa.",Goodness/Badness is Smell,"In the above sentence, the quality of the man's face is being described in terms of: ","En la oración de arriba, la calidad de la cara del hombre se describe en términos de:","En la oraci&#243;n de arriba, la calidad de la cara del hombre se describe en t&#233;rminos de:",Smell,Olor,Olor,Cleanliness,Limpieza,Limpieza,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Hunger,Hambre,Hambre,1
2,"After he was convicted of the crime, the man hit rock bottom.","Después de haber sido condenado por el crimen, el hombre toco fondo.","Despu&#233;s de haber sido condenado por el crimen, el hombre toco fondo.",Happiness is Vertical Elevation,"In the above sentence, the man's mood is being described in terms of: ","En la oración de arriba, el humor del hombre se describe en términos de:","En la oraci&#243;n de arriba, el humor del hombre se describe en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Cleanliness,Limpieza,Limpieza,1
3,"After he was convicted of the crime, the man was in a dark place.","Después de haber sido condenado por el crimen, el hombre estaba en un lugar sombrío (obscuro).","Despu&#233;s de haber sido condenado por el crimen, el hombre estaba en un lugar sombr&#237;o (obscuro).",Happiness is Brightness,"In the above sentence, the man's mood is being described in terms of: ","En la oración de arriba, el humor del hombre se describe en términos de:","En la oraci&#243;n de arriba, el humor del hombre se describe en t&#233;rminos de:",Brightness,Luminosidad(Resplandor),Luminosidad(Resplandor),Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,1
4,"After many years, the volcano suddenly came alive.","Después de muchos años, el volcán repentinamente vino a la vida.","Despu&#233;s de muchos a&#241;os, el volc&#225;n repentinamente vino a la vida.",Activity is Being Alive/Dead,"In the above sentence, the activity of the volcano is being described in terms of: ","En la oración de arriba, la actividad del volcán se describe en términos de:","En la oraci&#243;n de arriba, la actividad del volc&#225;n se describe en t&#233;rminos de:",Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Hunger,Hambre,Hambre,Seeing something,Ver Algo,Ver Algo,2
5,"After overcoming many obstacles, the woman stated, ""I finally passed that period of my Being Alive/Dead.""","Después de superar muchos obstáculos, la mujer dijo, “Finalmente he pasado ese periodo de mi vida.”","Despu&#233;s de superar muchos obst&#225;culos, la mujer dijo, &#8220;Finalmente he pasado ese periodo de mi vida.&#8221;",Time Periods is A Region in Space,"In the above sentence, the period of the woman's Being Alive/Dead is being described in terms of: ","En la oración de arriba, el periodo de estar Viva/Muerta de la mujer se describe en términos de:","En la oraci&#243;n de arriba, el periodo de estar Viva/Muerta de la mujer dese describe en t&#233;rminos de:",A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,2
6,"After overcoming many obstacles, the woman stated, ""That period of my Being Alive/Dead finally passed.""","Después de superar muchos obstáculos, la mujer dijo, “Finalmente he pasado ese periodo de mi vida.""","Despu&#233;s de superar muchos obst&#225;culos, la mujer dijo, &#8220;Finalmente he pasado ese periodo de mi vida.""",Time Periods is An Object in Motion,"In the above sentence, the period the woman's Being Alive/Dead is being described in terms of: ","En la oración de arriba, el periodo de estar Viva/Muerta de la mujer se describe en términos de:","En la oraci&#243;n de arriba, el periodo de estar Viva/Muerta de la mujer se describe en t&#233;rminos de:",An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,Smell,Olor,Olor,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),1
7,"After the torrential rainstorm, the company was happy to learn that their phones were up and running.","Después de la tormenta torrencial, la compañía estaba feliz al aprender que los teléfonos estaban puestos en marcha.","Despu&#233;s de la tormenta torrencial, la compa&#241;&#237;a estaba feliz al aprender que los tel&#233;fonos estaban puestos en marcha.",Activity is Being Asleep/Awake,"In the above sentence, the activity of the phones is being described in terms of: ","En la oración de arriba, la actividad de los teléfonos se describe en términos de:","En la oraci&#243;n de arriba, la actividad de los tel&#233;fonos se describe en t&#233;rminos de:",Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,2
8,"After the torrential rainstorm, the company was happy to learn that their phones weren't dead.","Después de la tormenta torrencial, la compañía estaba feliz al aprender que sus teléfonos no estaban muertos.","Despu&#233;s de la tormenta torrencial, la compa&#241;&#237;a estaba feliz al aprender que sus tel&#233;fonos no estaban muertos.",Activity is Being Alive/Dead,"In the above sentence, the activity of the phones is being described in terms of: ","En la oración de arriba, la actividad de los teléfonos se describe en términos de:","En la oraci&#243;n de arriba, la actividad de los tel&#233;fonos se describe en t&#233;rminos de:",Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,2
