UNIQUE ID,CRITICAL SENTENCE ENGLISH,CRITICAL SENTENCE UNICODE,CRITICAL SENTENCE RUSSIAN,QUESTION FRAME ENGLISH,QUESTION FRAME RUSSIAN,QUESTION FRAME UNICODE,UNDERLYING METAPHOR,UNDERLYING METAPHOR,CORRECT ANSWER,CORRECT ANSWER,CORRECT ANSWER,RELATED ANSWER,RELATED ANSWER,RELATED ANSWER,UNRELATED ANSWER 1,UNRELATED ANSWER 1,UNRELATED ANSWER 1,UNRELATED ANSWER 2,UNRELATED ANSWER 2,UNRELATED ANSWER 2,SET
99,This question is designed to check that you are paying attention.,&#1069;&#1090;&#1086;&#1090; &#1074;&#1086;&#1087;&#1088;&#1086;&#1089; &#1087;&#1088;&#1077;&#1076;&#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085; &#1076;&#1083;&#1103; &#1087;&#1088;&#1086;&#1074;&#1077;&#1088;&#1082;&#1080; &#1074;&#1085;&#1080;&#1084;&#1072;&#1085;&#1080;&#1103;.,Этот вопрос предназначен для проверки внимания.,"Please select ""Brightness"" as your answer:","Пожалуйста, выберите ""Яркость"" в качестве ответа:","&#1055;&#1086;&#1078;&#1072;&#1083;&#1091;&#1081;&#1089;&#1090;&#1072;, &#1074;&#1099;&#1073;&#1077;&#1088;&#1080;&#1090;&#1077; ""&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;"" &#1074; &#1082;&#1072;&#1095;&#1077;&#1089;&#1090;&#1074;&#1077; &#1086;&#1090;&#1074;&#1077;&#1090;&#1072;:",trick question,trick question,Brightness,Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,Wakefulness,Бодрствование,&#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,1
99,This question is designed to check that you are paying attention.,&#1069;&#1090;&#1086;&#1090; &#1074;&#1086;&#1087;&#1088;&#1086;&#1089; &#1087;&#1088;&#1077;&#1076;&#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085; &#1076;&#1083;&#1103; &#1087;&#1088;&#1086;&#1074;&#1077;&#1088;&#1082;&#1080; &#1074;&#1085;&#1080;&#1084;&#1072;&#1085;&#1080;&#1103;.,Этот вопрос предназначен для проверки внимания.,"Please select ""Brightness"" as your answer:","Пожалуйста, выберите ""Подъем/Вертикальность"" в качестве ответа:","&#1055;&#1086;&#1078;&#1072;&#1083;&#1091;&#1081;&#1089;&#1090;&#1072;, &#1074;&#1099;&#1073;&#1077;&#1088;&#1080;&#1090;&#1077; ""&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;"" &#1074; &#1082;&#1072;&#1095;&#1077;&#1089;&#1090;&#1074;&#1077; &#1086;&#1090;&#1074;&#1077;&#1090;&#1072;:",trick question,trick question,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Brightness,Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,Wakefulness,Бодрствование,&#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,2
1,"After committing the crime, his face reeked of guilt","&#1055;&#1086;&#1089;&#1083;&#1077; &#1089;&#1086;&#1074;&#1077;&#1088;&#1096;&#1077;&#1085;&#1080;&#1103; &#1087;&#1088;&#1077;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1103;, &#1077;&#1075;&#1086; &#1083;&#1080;&#1094;&#1086; &#1088;&#1072;&#1079;&#1080;&#1083;&#1086; &#1095;&#1091;&#1074;&#1089;&#1090;&#1074;&#1086;&#1084; &#1074;&#1080;&#1085;&#1099;.","После совершения преступления, его лицо разило чувством вины.","In the above sentence, the quality of the man's face is being described in terms of: ",В этом предложении лицо описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1083;&#1080;&#1094;&#1086; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Goodness/Badness is Smell,Положительность/Отрицательность,Foul-Smelling,Неприятный запах,&#1053;&#1077;&#1087;&#1088;&#1080;&#1103;&#1090;&#1085;&#1099;&#1081; &#1079;&#1072;&#1087;&#1072;&#1093;,Cleanliness,Чистота,&#1063;&#1080;&#1089;&#1090;&#1086;&#1090;&#1072;,Being Asleep/Awake,Сон/ Бодрствование,&#1057;&#1086;&#1085;/ &#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,Hunger,Голод,&#1043;&#1086;&#1083;&#1086;&#1076;,1
2,"After he was convicted of the crime, the man hit rock bottom.","&#1057;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090; &#1086;&#1082;&#1086;&#1085;&#1095;&#1072;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086; &#1091;&#1087;&#1072;&#1083; &#1076;&#1091;&#1093;&#1086;&#1084; &#1087;&#1086;&#1089;&#1083;&#1077; &#1090;&#1086;&#1075;&#1086;, &#1082;&#1072;&#1082; &#1077;&#1075;&#1086; &#1086;&#1089;&#1091;&#1076;&#1080;&#1083;&#1080; &#1079;&#1072; &#1095;&#1091;&#1078;&#1086;&#1077; &#1087;&#1088;&#1077;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1077;.","Студент окончательно упал духом после того, как его осудили за чужое преступление.","In the above sentence, the man's mood is being described in terms of: ",В этом предложении расположение духа студента описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1088;&#1072;&#1089;&#1087;&#1086;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1077; &#1076;&#1091;&#1093;&#1072; &#1089;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090;&#1072; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Happiness is Vertical Elevation,Счастье,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Brightness,Яркость,"&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;
",An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,Cleanliness,Чистота,&#1063;&#1080;&#1089;&#1090;&#1086;&#1090;&#1072;,1
3,"After he was convicted of the crime, the man was in a dark place.","&#1057;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090; &#1073;&#1099;&#1083; &#1084;&#1088;&#1072;&#1095;&#1077;&#1085; &#1087;&#1086;&#1089;&#1083;&#1077; &#1090;&#1086;&#1075;&#1086;, &#1082;&#1072;&#1082; &#1077;&#1075;&#1086; &#1086;&#1089;&#1091;&#1076;&#1080;&#1083;&#1080; &#1079;&#1072; &#1095;&#1091;&#1078;&#1086;&#1077; &#1087;&#1088;&#1077;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1077;.","Студент был мрачен после того, как его осудили за чужое преступление.","In the above sentence, the man's mood is being described in terms of: ",В этом предложении состояние студента описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1089;&#1086;&#1089;&#1090;&#1086;&#1103;&#1085;&#1080;&#1077; &#1089;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090;&#1072; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Happiness is Brightness,Счастье,"Brightness
",Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Arriving at a Destination,Прибывать в место назначения,&#1055;&#1088;&#1080;&#1073;&#1099;&#1074;&#1072;&#1090;&#1100; &#1074; &#1084;&#1077;&#1089;&#1090;&#1086; &#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085;&#1080;&#1103;,a Physical Force,Физическая сила,&#1060;&#1080;&#1079;&#1080;&#1095;&#1077;&#1089;&#1082;&#1072;&#1103; &#1089;&#1080;&#1083;&#1072;,2
4,"After many years, the volcano suddenly came alive.",&#1055;&#1086;&#1089;&#1083;&#1077; &#1084;&#1085;&#1086;&#1075;&#1080;&#1093; &#1083;&#1077;&#1090; &#1074;&#1091;&#1083;&#1082;&#1072;&#1085; &#1074;&#1076;&#1088;&#1091;&#1075; &#1086;&#1078;&#1080;&#1083;.,После многих лет вулкан вдруг ожил.,"In the above sentence, the activity of the volcano is being described in terms of: ",В этом предложении активность вулкана описана как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1072;&#1082;&#1090;&#1080;&#1074;&#1085;&#1086;&#1089;&#1090;&#1100; &#1074;&#1091;&#1083;&#1082;&#1072;&#1085;&#1072; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1072; &#1082;&#1072;&#1082;:,Activity is Being Alive/Dead,Активность,Life,Жизнь,&#1046;&#1080;&#1079;&#1085;&#1100;,Being Asleep/Awake,Сон/ Бодрствование,&#1057;&#1086;&#1085;/ &#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,Hunger,Голод,&#1043;&#1086;&#1083;&#1086;&#1076;,Seeing something,Видеть объект,&#1042;&#1080;&#1076;&#1077;&#1090;&#1100; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;,2
5,"After overcoming many obstacles, the woman stated, ""I finally passed that period of my life.""","&#1055;&#1086;&#1089;&#1083;&#1077; &#1087;&#1088;&#1077;&#1086;&#1076;&#1086;&#1083;&#1077;&#1085;&#1080;&#1103; &#1084;&#1085;&#1086;&#1075;&#1080;&#1093; &#1078;&#1080;&#1079;&#1085;&#1077;&#1085;&#1085;&#1099;&#1093; &#1087;&#1088;&#1077;&#1087;&#1103;&#1090;&#1089;&#1090;&#1074;&#1080;&#1081; &#1078;&#1077;&#1085;&#1097;&#1080;&#1085;&#1072; &#1079;&#1072;&#1103;&#1074;&#1080;&#1083;&#1072;: ""&#1071; &#1085;&#1072;&#1082;&#1086;&#1085;&#1077;&#1094;-&#1090;&#1086; &#1087;&#1088;&#1086;&#1096;&#1083;&#1072; &#1101;&#1090;&#1086;&#1090; &#1084;&#1088;&#1072;&#1095;&#1085;&#1099;&#1081; &#1087;&#1077;&#1088;&#1080;&#1086;&#1076; &#1084;&#1086;&#1077;&#1081; &#1078;&#1080;&#1079;&#1085;&#1080;&#187;.","После преодоления многих жизненных препятствий женщина заявила: ""Я наконец-то прошла этот мрачный период моей жизни».","In the above sentence, the period of the woman's Being Alive/Dead is being described in terms of: ",В этом предложении период времени описан как: ,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1087;&#1077;&#1088;&#1080;&#1086;&#1076; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085; &#1082;&#1072;&#1082;: ,Time Periods is A Region in Space,Период времени,Region in Space,Место/Пространство,&#1052;&#1077;&#1089;&#1090;&#1086;/&#1055;&#1088;&#1086;&#1089;&#1090;&#1088;&#1072;&#1085;&#1089;&#1090;&#1074;&#1086;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,Centrality in Space,Центральность,&#1062;&#1077;&#1085;&#1090;&#1088;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Acquiring a Desired Object,Приобретение объекта,&#1055;&#1088;&#1080;&#1086;&#1073;&#1088;&#1077;&#1090;&#1077;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,2
6,"After overcoming many obstacles, the woman stated, ""That period of my life finally passed.""","&#1055;&#1086;&#1089;&#1083;&#1077; &#1087;&#1088;&#1077;&#1086;&#1076;&#1086;&#1083;&#1077;&#1085;&#1080;&#1103; &#1084;&#1085;&#1086;&#1075;&#1080;&#1093; &#1078;&#1080;&#1079;&#1085;&#1077;&#1085;&#1085;&#1099;&#1093; &#1087;&#1088;&#1077;&#1087;&#1103;&#1090;&#1089;&#1090;&#1074;&#1080;&#1081; &#1078;&#1077;&#1085;&#1097;&#1080;&#1085;&#1072; &#1079;&#1072;&#1103;&#1074;&#1080;&#1083;&#1072;: ""&#1054;&#1081;, &#1085;&#1072;&#1082;&#1086;&#1085;&#1077;&#1094;-&#1090;&#1086; &#1087;&#1088;&#1086;&#1085;&#1077;&#1089;&#1083;&#1086;!&#187;.","После преодоления многих жизненных препятствий женщина заявила: ""Ой, наконец-то пронесло!».","In the above sentence, the period the woman's Being Alive/Dead is being described in terms of: ",В этом предложении период времени описан как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1087;&#1077;&#1088;&#1080;&#1086;&#1076; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085; &#1082;&#1072;&#1082;: ,Time Periods is An Object in Motion,Период времени,Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,A Region in Space,Место/Пространство,&#1052;&#1077;&#1089;&#1090;&#1086;/&#1055;&#1088;&#1086;&#1089;&#1090;&#1088;&#1072;&#1085;&#1089;&#1090;&#1074;&#1086;,Smell,Запах,&#1047;&#1072;&#1087;&#1072;&#1093;,Being Alive/Dead,Быть живым/Мертвым,&#1041;&#1099;&#1090;&#1100; &#1078;&#1080;&#1074;&#1099;&#1084;/&#1052;&#1077;&#1088;&#1090;&#1074;&#1099;&#1084;,1
7,"After the torrential rainstorm, the company was happy to learn that their phones were up and running.","&#1050;&#1086;&#1084;&#1087;&#1072;&#1085;&#1080;&#1103; &#1088;&#1072;&#1076;&#1072; &#1073;&#1099;&#1083;&#1072; &#1091;&#1079;&#1085;&#1072;&#1090;&#1100;, &#1095;&#1090;&#1086; &#1087;&#1086;&#1089;&#1083;&#1077; &#1076;&#1086;&#1083;&#1075;&#1080;&#1093; &#1087;&#1088;&#1086;&#1083;&#1080;&#1074;&#1085;&#1099;&#1093; &#1076;&#1086;&#1078;&#1076;&#1077;&#1081; &#1091; &#1085;&#1080;&#1093; &#1085;&#1072;&#1095;&#1072;&#1083;&#1080; &#1076;&#1077;&#1081;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1090;&#1100; &#1074;&#1089;&#1077; &#1090;&#1077;&#1083;&#1077;&#1092;&#1086;&#1085;&#1085;&#1099;&#1077; &#1083;&#1080;&#1085;&#1080;&#1080;.","Компания рада была узнать, что после долгих проливных дождей у них начали действовать все телефонные линии.","In the above sentence, the activity of the phones is being described in terms of: ",В этом предложении телефонные линии описаны как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1090;&#1077;&#1083;&#1077;&#1092;&#1086;&#1085;&#1085;&#1099;&#1077; &#1083;&#1080;&#1085;&#1080;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1099; &#1082;&#1072;&#1082;:,Activity is Being Asleep/Awake,Активность,Wakefulness,Бодрствование,&#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,Being Alive/Dead,Быть живым/Мертвым,&#1041;&#1099;&#1090;&#1100; &#1078;&#1080;&#1074;&#1099;&#1084;/&#1052;&#1077;&#1088;&#1090;&#1074;&#1099;&#1084;,Brightness,Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,Centrality in Space,Центральность,&#1062;&#1077;&#1085;&#1090;&#1088;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,2
8,"After the torrential rainstorm, the company was happy to learn that their phones weren't dead.","&#1050;&#1086;&#1084;&#1087;&#1072;&#1085;&#1080;&#1103; &#1073;&#1099;&#1083;&#1072; &#1088;&#1072;&#1076;&#1072; &#1091;&#1079;&#1085;&#1072;&#1090;&#1100;, &#1095;&#1090;&#1086; &#1087;&#1086;&#1089;&#1083;&#1077; &#1076;&#1086;&#1083;&#1075;&#1080;&#1093; &#1087;&#1088;&#1086;&#1083;&#1080;&#1074;&#1085;&#1099;&#1093; &#1076;&#1086;&#1078;&#1076;&#1077;&#1081; &#1091; &#1085;&#1080;&#1093; &#1085;&#1077; &#1087;&#1086;&#1089;&#1090;&#1088;&#1072;&#1076;&#1072;&#1083;&#1072; &#1085;&#1080; &#1086;&#1076;&#1085;&#1072; &#1090;&#1077;&#1083;&#1077;&#1092;&#1086;&#1085;&#1085;&#1072;&#1103; &#1083;&#1080;&#1085;&#1080;&#1103;.","Компания была рада узнать, что после долгих проливных дождей у них не пострадала ни одна телефонная линия.","In the above sentence, the activity of the phones is being described in terms of: ",В этом предложении телефонные линии описаны как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1090;&#1077;&#1083;&#1077;&#1092;&#1086;&#1085;&#1085;&#1099;&#1077; &#1083;&#1080;&#1085;&#1080;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1099; &#1082;&#1072;&#1082;:,Activity is Being Alive/Dead,Активность,Life,Жизнь,&#1046;&#1080;&#1079;&#1085;&#1100;,Being Asleep/Awake,Сон/ Бодрствование,&#1057;&#1086;&#1085;/ &#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,Vertical Positioning,Позиция по вертикали,&#1055;&#1086;&#1079;&#1080;&#1094;&#1080;&#1103; &#1087;&#1086; &#1074;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1080;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,2
