Unique ID,Critical Vignette Fasri,Consistent Completion Farsi,Vignette A Metaphor,Inconsistent Completion Farsi,Inconsistent Completion Metaphor,Inconsistent Completion Metaphor Farsi,Set
1,پس از ماه های طولانی کار سخت، هنوز نکات زیر بنایی قضیه برای کارآگاه مبهم بود. اما به طور ناگهانی، چیزی از قضیه فاش شد و کارآگاه توانست دلیل رویدادن حادثه را دریابد,او متوجه شد که کلید معما در تمام مدت در معرض دیدش بوده است,Knowing is seeing,او متوجه شد که کلید معما در تمام مدت در دسترسش  بوده است,Knowing is grasping,دانستن به چنگ آوردن است,1
2,پس از ماه ها کار سخت،  کارآگاه هنوز با نکات پایه ای دست و پنجه نرم می کرد. اما به طور ناگهانی، چیزی از قضیه فاش شد و کارآگاه توانست دلیل رویدادن حادثه را دریابد,او متوجه شد که کلید معما در تمام مدت در دسترسش بوده است,Knowing is grasping,او متوجه شد که کلید معما در تمام مدت پیش چشمش  بوده است,Knowing is seeing,دانستن، دیدن است,1
3,همه بچه ها هیجان زده اند که سال تحصیلی جدید نزدیک می شود. بی صبرانه منتظرند که سال جدید از راه برسد,وقتی سال تحصیلی جدید بالاخره فرا رسید، بچه ها در پوستشان نمی گنجیدند,Time periods are Objects in motion,وقتی بچه ها در سال تحصیلی جدید قرار گرفتند، در پوستشان نمی گنجیدند,Time periods are spatial regions,برهه های زمانی،  نواحی فضایی اند,1
4,کودکان خیلی هیجان زده اند چرا که ما وارد سال تحصیلی جدید می شویم. بی صبرانه منتظرند,وقتی بالاخره وارد سال جدید شدیم، کودکان در پوست خود نمی گنجیدند,Time periods are spatial regions,وقتی سال جدید فرا رسید، کودکان در پوست خود نمی گنجیدند,Time periods are objects in motion,برهه های زمانی،  اشیائي در حرکتند,1
5,ارقام فروش گلوبوکم از پیش بینی های سه ماهه گذشته کمتر است. با این حال در سه ماهه حاضر، این ارقام بسیار عظیم هستند و با سرمایه گذاریهای جدید، همچنان رو به رشد خواهند داشت.,سرمایه گذاران خوشنودند که سود دهی شرکت رو به توسعه است,Quantity is Size,سرمایه گذاران خوشنودند که سود دهی شرکت رو به افزایش است,Quantity is Vertical Elevation,کمیت صعود عمودی است,1
6,در سه ماهه گذشته، ارقام فروش شرکت گلوبوکم پائینتر از پیش بینی ها بوده است,سرمایه گذاران خوشنودند که سود شرکت رو به افزایش است,Quantity is Vertical Elevation,سرمایه گذاران خوشنودند که سود شرکت در حال گسترش است,Quantity is size,اهمیت در اندازه است,1
7,جیل  احاطه کامل بر سخنرانی اش داشت. به همین دلیل تماشاچیانش را در کف دست داشت,به دلیل آنکه بر همه چیز احاطه کامل داشت، سخنرانی اش همانطور که امیدوار بود پیش رفت,Being on control is Grasping,به دلیل آنکه همه چیز را تحت کنترل داشت، سخنرانی اش همانطور که امیدوار بود پیش رفت,Being in control is Being above,کنترل داشتن بالا بودن است,1
8,جیل به سخنرانی اش احاطه کامل داشت. به همین دلیل تاثیر عمیقی بر تماشاچیانش گذاشت,به دلیل آنکه همه چیز را تحت کنترل داشت، سخنرانی اش همانگونه که امیدوار بود پیش رفت,Being in control is Being above,به دلیل آنکه  به خوبی بر مطلب مسلط بود، سخنرانی اش همانگونه که امیدوار بود پیش رفت,Being control is Grasping,کنترل داشتن، به چنگ آوردن است,1
9,سال گذشته، به نظر می رسید که اقتصاد نابود شده است. ولی بنا بر گزارشهای کار ماه پیش، ظاهراً اقتصاد  شکوفا شده است,فعالیت های شرکت های کوچک در سر تا سر مملکت باعث احیای اقتصاد شده است,Activity is Life,فعالیت های شرکت های کوچک در سر تا سر مملکت به اقتصاد نیروی تازه ای بخشیده است,Activity is Wakefulness,فعالیت بیدار بودن است,1
10,سال گذشته، به نظر می رسید که اقتصاد در یک دوره سکون است. ولی بنا بر گزارشهای کار ماه پیش، ظاهراً اقتصاد بالاخره جان تازه ای یافته است,تلاشهای شرکت های کوچک در سراسر مملکت باعث شکوفایی اقتصاد شده است,Activity is Wakefulness,تلاشهای شرکت های کوچک در سراسر مملکت باعث احیای اقتصاد شده است,Activity is Life,فعالیت زندگی است,1
