Unique ID,CRITICAL RUSSIAN,CONSISTENT RUSSAIN,VIGNETTE A METAPHOR,INCONSISTENT RUSSIAN,INCONSISTENT COMPLETION METAPHOR,SET
1,"Будучи коммерческим центром города, порт держит под контролем деятельность, связанную с международной торговлей.   ",Это ядро коммерческого успеха города.,Importance is Centrality,Это огромная часть коммерческого успеха города.,Importance is Size,1
2,"Прогнозы продаж компании в прошлом квартале были выше чем конечная выручка. Но в этом квартале цифры, полученной прибыли, оказались выше крыши и по всей вероятности будут продолжать расти после недавно заключенных инвестиционных сделок.","Инвесторы рады, что прибыли компании растут.",Quantity is Vertical Elevation,"Инвесторы чрезвычайно рады, что прибыли компании увеличиваются.",Quantity is Size,1
3,Репутация политика уже была запятнана. Но новость о бюджетной коррупции окончательно омрачила его карьеру.,"После сегодняшней пресс-конференции было ясно, что его будущее будет навсегда омрачено этой виной.",Badness is Dirtiness,На сегодняшней пресс-конференции от него разило чувством вины,Badness is Foul-Smell,1
4,Художница окончательно упала духом из-за своих финансовых проблем. Но после продажи своей первой картины ее настроение поднялось .,"Перспективы ее будущего прояснились и она обрела надежду, что никогда опять не попадет в такую бездну.",Happiness is Elevation,"Песпективы ее будущего прояснились и она обрела надежду, что темная полоса в ее жизни никогда больше не повторится.",Happiness is Brightness,1
5,"В прошлом году, казалось, что в экономике наступило затишье. Но судя по отчету о трудоустройстве за прошлый месяц, появились признаки постепенного пробуждения.",Пробуждение экономики произошло благодаря усилиям малого бизнеса по всей стране.,Activity is Wakefulness,Деятельность малого бизнеса по всей стране привела к возрождению экономики.,Activity is Life,1
6,Студент занимался очень усердно и значительно приблизился к пониманию материала. Но еще многое для него осталось неясным.,"Он не сомневается в том, что справится с трудным материалом и достигнет успеха.",Achieving goal is Reaching destination,"Но он не унывал и верил, что приобретет нужные знания.",Achieving a goal is Acquiring Object,1
7,"Все дети очень рады тому, что приближается Новый год. Они не могут дождаться, когда он наступит. ","Когда Новый год наконец-то наступил, дети не могли сдержаться от радости. ",Time periods are Objects in motion,"Когда они наконец-то оказались в Новом году, дети не могли сдержаться от радости. ",Time periods are spatial regions,1
8,После многих месяцев тяжелой работы некоторые факты дела были до сих пор не очевидны. Но новые данные позволили детективу рассмотреть сценарий событий с новой перспективы. ,"Он понял, что ключ к разгадке всей этой тайны находится у него прямо перед глазами.",Knowing is seeing,"Детектив вдруг понял, что разгадка всей этой истории - у него в руках.",Knowing is grasping,1
9,Во время презентации Джилл была на высоте и поэтому ее речь оказала огромное возействие на аудиторию.,"Так как у Джилл все было под контролем, ее презентация прошла так, как она того и ожидала.",Being in control is Being above,"Благодаря ее способности схватывать суть предмета разговора, ее презентация прошла так, как она того и ожидала. ",Being control is Grasping,1
10,"Молодая актриса испытывала жажду признания, которую могла утолить только перспектива будущей славы.",Еще с детских лет она жаждала внимания окружающих. ,Desire is Hunger,"Еще с детских лет у нее была тяга к тому, чтобы быть в центре внимания. ",Desire is Force,1
11,Порт является крупнейшей коммерческой структурой нашего города. Он играет огромную роль в поддержании транспортной инфраструктуры.,Это огромная часть коммерческого успеха города.,Importance is Size,Он является ядром коммерческого успеха города.,Importance is Centrality,2
12,"Прогнозы продаж компании были меньше, чем конечная выручка. Но в этом квартале у них огромная прибыль, которая  продолжает увеличиваться после недавно заключенных инвестиционных сделок.","Инвесторы рады, что прибыли компании увеличиваются.",Quantity is Size,"Инвесторы рады, что прибыли компании поднимаются.",Quantity is Vertical Elevation,2
13,"От его политической карьеры уже плохо пахло, но последние новости о коррупционном скандале окончательно испортили его репутацию ",На сегоднящней конференции от него разило чувством вины.,Badness is Foul-Smell,На сегодняшней пресс-конференции он предстал со следами вины на лице. ,Badness is Dirtiness,2
14,Художница находилась в мрачном состоянии из-за своих финансовых проблем. Но после продажи своей первой картины ее лицо буквально засияло.,"Песпективы ее будущего прояснились и она обрела надежду, что темная полоса в ее жизни больше никогда не повторится.",Happiness is Brightness,"Перспективы ее будущего прояснились и она обрела надежду, что никогда снова не попадет в такую бездну.",Happiness is Elevation,2
15,"В пршлом году, казалось, экономика находится в упадке. Но судя по отчету о трудоустройстве за последний месяц, экономика наконец-то ожила.  ",Это оживление произошло благодаря деятельности малого бизнеса по всей стране.,Activity is Life,Это пробуждение произошло благодаря деятельности малого бизнеса по всей стране.,Activity is Wakefulness,2
16,Студент занимался очень усердно и уже начал схватывать материал. Но он еще не приобрел всех необходимых знаний.,"Но он не унывал и верил, что справится с трудным материалом и приобретет нужные знания.",Achieving a goal is Acquiring Object,"Но он не унывал и верил, что достигнет успеха.",Achieving goal is Reaching destination,2
17,"Все дети очень рады тому, что мы скоро начнем новый учебный год. Они не могут дождаться его наступения. ","Наконец-то оказавшись в Новом году, дети не могли сдержаться от радости.",Time periods are spatial regions,"Когда Новый год наконец-то наступил, дети не могли сдержаться от радости.",Time periods are objects in motion,2
18,"После многих месяцев тяжелой работы следователь столкнулся с проблемой недостатка улик. Но потом, вдруг, в деле открылись факты, которые помогли ему схватить суть того, что же произошло на самом деле. ","Детектив вдруг понял, что разгадка всей этой истории - у него в руках.",Knowing is grasping,"Он понял, что ключ к разгадке всей этой тайны находится у него прямо перед глазами.",Knowing is seeing,2
19,"Будучи прекрасным оратором, Джилл завладела вниманием публики. ","Благодаря ее пособности схватывать суть разговора, ее презентация прошла так, как она того и ожидала.",Being on control is Grasping,"Так как она все держала под котролем, ее презентация прошла так, как она того и ожидала.",Being in control is Being above,2
20,"Так как  актрисе всегда хотелось стать известной, мысль о том, что она получит признание публики, притягивала ее все сильнее.","Еще с детских лет у нее была тяга к тому, чтобы быть в центре внимания. ",Desire is Force,"Даже еще будучи ребенком, она всегда испытывала жажду внимания окружающих.",Desire is Hunger,2
