Unique ID,CRITICAL VIGNETTE A (SPANISH),COMPLETION A (SPANISH),VIGNETTE A METAPHOR,COMPLETION B,COMPLETION A METAPHOR,Set
1,"Después de muchos meses de trabajo difícil, los hechos básicos del caso aun no se le hacían claros al detective.  Pero de repente, hubo una ruptura en el caso, y el detective pudo ver lo que había sucedido.",Él se dio cuenta que la clave al misterio había estado en plena vista todo el tiempo.,Knowing is seeing,Se dio cuenta que la clave al misterio había estado a su alcance todo este tiempo.,Knowing is seeing,1
2,Todos los niños están muy emocionados porque el nuevo año escolar se acerca.  No pueden esperar más a que llegue.,"Cuando el Año Nuevo por fin llegó, los niños no se podían contener. ",Time periods are Objects in motion,"Cuando finalmente entraron al Año Nuevo, los niños no se podían contener.",Time periods are objects in motion,1
3,"Las cifras de ventas del trimestre estuvieron bajo la proyección. Pero este trimestre, sus cifras están por las nubes, y solo continuaran elevándose después de los nuevos acuerdos de inversión.",Inversionistas están emocionados de que las ganancias de la compañía están ascendiendo.,Quantity is Vertical Elevation,Inversionistas están emocionados de que las ganancias de la compañía se están extendiendo.,Quantity is Vertical Elevation,1
4,"Jill estaba en la cima de su presentación. Como resultado,  tuvo una profunda influencia sobre su audiencia. ","Porque ella tuvo todo bajo control, su presentación procedió justo como había esperado.",Being in control is Being above,"Porque tuvo un capto fuerte sobre todo, su presentación procedió justo como esperaba.",Being in control is Being above,1
5,"El año pasado, parecía que la economía estaba en un momento de calma. Pero en luz al reporte de trabajos del mes pasado, parece que la economía finalmente se ha despertado. ",Los esfuerzos de pequeñas empresas a través de la nación han rejuvenecido la economía.,Activity is Wakefulness,Los esfuerzos de pequeñas compañías a través de la nación han resucitado la economía.,Activity is Wakefulness,1
6, La artista estaba hambrienta por reconocimiento. Ella encontraba la posibilidad de ser famosa muy apetitiva,"Desde que era una niña, siempre ansiaba la atención.",Desire is Hunger,"Desde que era una niña, siempre gravitaba hacia la atención",Desire is Hunger,1
7,"El espíritu del artista se hundía mientras sobrellevaba sus problemas financieros.  Pero después de vender una pintura, su humor se levantó. ","Su perspectiva hacia el futuro mejoró, y esperaba no volver a tocar fondo jamás.",Happiness is Elevation,"Su perspectiva hacia su futuro mejoró, y esperaba nunca estar en un lugar obscuro de nuevo.",Happiness is Elevation,1
8,El expediente del político ya tenía muchos barros. Pero su reputación en realidad se empañó cuando la noticia del escándalo de corrupción se filtró al público. ,"Hoy en la conferencia de prensa, su cara estaba manchada de culpa.",Badness is Dirtiness,"Hoy en la conferencia de prensa, su cara hedía a culpa.",Badness is Dirtiness,1
9,El puerto es el núcleo comercial de la ciudad. Juega un papel pivote en el mantenimiento de la infraestructura de transporte.,Es una parte nuclea del éxito comercial de la ciudad.,Importance is Centrality,Es una parte enorme del éxito comercial de la ciudad.,Importance is Centrality,1
10,El estudiante ha trabajado muy diligentemente y se esta acercando a la comprensión del material. Pero todavía no esta completamente ahí.,Él confía que atravesará el material difícil y que hará bien en la clase. ,Achieving goal is Reaching destination,Él confía que tendrá un agarre en el material difícil y que hará bien en la clase.,Achieving goal is Reaching destination,1
11,"Después de muchos meses de trabajo difícil, el detective aun estaba batallando con los hechos básicos del caso.  Pero de repente, hubo una ruptura en el caso, y el detective pudo captar lo que había sucedido.",Se dio cuenta que la clave al misterio había estado a su alcance todo este tiempo.,Knowing is grasping,Él se dio cuenta que la clave al misterio había estado en plena vista todo el tiempo.,Knowing is grasping,2
12,Todos los niños están muy emocionados porque estamos a punto de entrar a un año escolar nuevo. No pueden esperar más a llegar ahí. ,"Cuando finalmente entraron al Año Nuevo, los niños no se podían contener.",Time periods are spatial regions,"Cuando el Año Nuevo por fin llegó, los niños no se podían contener. ",Time periods are spatial regions,2
13,"Las cifras de venta de Globochem fueron más pequeñas que las proyecciones del trimestre pasado. Pero este trimestre, sus cifras son enormes, y solo continuaran creciendo después de los nuevos acuerdos de inversión.",Inversionistas están emocionados de que las ganancias de la compañía se están extendiendo.,Quantity is Size,Inversionistas están emocionados de que las ganancias de la compañía están ascendiendo.,Quantity is Size,2
14,"Jill tenía un firme agarre de su presentación. Como resultado, tuvo a la audiencia en las palmas de sus manos. ","Porque tuvo un capto fuerte sobre todo, su presentación procedió justo como esperaba. ",Being on control is Grasping,"Porque ella tuvo todo bajo control, su presentación procedió justo como había esperado.",Being control is Grasping,2
15,"El año pasado, parecía que la economía estaba muerta. Pero en luz al reporte de trabajos del mes pasado, parece que la economía finalmente ha venido a la vida.",Los esfuerzos de pequeñas compañías a través de la nación han resucitado la economía.,Activity is Life,Los esfuerzos de pequeñas empresas a través de la nación han rejuvenecido la economía.,Activity is Life,2
